title,summary,biases,filename
Education Equity and the Digital Divide,本文探讨并重新定义了“数字鸿沟”的概念。作者指出，传统的数字鸿沟研究往往只关注不同社会群体在计算机和互联网物理访问率上的差异，而忽略了更深层次的教育、社会和文化不平等。文章通过对近期研究的批判性回顾，提议将研究范式从单纯的“物理访问平等”转向“访问公平（equity of access）”，以应对教育系统和学校文化中存在的排斥与异化问题。,"['种族 (race)', '性别 (gender)', '社会经济地位 (socioeconomic status)', '教育程度 (education level)', '残障状态 (disability status)', '母语/第一语言 (first language)']",article_6570 (1).pdf
Education Bias in the Mini-Mental State Examination,本研究探讨了简易精神状态检查（MMSE）在不同受教育程度群体中的结构效度。通过对50至98岁老年参与者的分析，研究发现几乎没有证据表明MMSE对低受教育程度群体存在偏见，其在预测功能衰退和死亡率方面的表现跨教育组别是一致的。然而，研究发现了显著的性别偏见证据，MMSE得分与年龄及日常生活活动（ADL）受损的相关性在女性中比男性更高。研究结论不支持根据受教育程度调整MMSE分数的提议。,"['Education bias (受教育程度偏见)', 'Sex bias (性别偏见)']",1-s2.0-S1041610224057168-main.pdf
Algorithmic Bias in Education,本文综述了教育领域中的算法偏见，探讨了其产生原因、具体影响以及在实证文献中的表现。文章分析了算法偏见对不同群体的影响，并提出了一个从未知偏见到已知偏见、从公平到公正的框架，同时讨论了在人工智能教育系统（AIED）中减轻和解决算法偏见的方法。,"['race/ethnicity', 'gender', 'nationality', 'socioeconomic status', 'disability', 'military-connected status']",s40593-021-00285-9.pdf
A Close Encounter with Personal Bias: Pedagogical Implications for Teacher Education,该定性研究探讨了预备教师在面对自身个人偏见时的经历及其对教师教育的教学启示。文章重点分析了教师如何通过工具（如隐含偏见测试 IAT）识别自身的潜意识偏见，并探讨了如何通过改进教师教育课程，帮助未来的教育工作者在多元化的教学环境中实现教育公平。,"['种族偏见 (Racial bias)', '隐含偏见 (Implicit bias)', '个人偏见 (Personal bias)']",Clark-CloseEncounterPersonal-2014.pdf
Examining Racial Bias in Education: A New Approach,本文提出了一种研究教育中种族不平等的新方法，旨在探讨种族偏见产生不平等结果的机制。文章强调了社会心理学中关于“内隐种族关联”（即基于种族的无意识关联）的研究对于理解种族偏见如何影响学校儿童的重要性，并分析了其在课堂环境中的影响，呼吁教育研究者与心理学研究者加强合作。,"['种族偏见 (Racial Bias)', '内隐种族关联 (Implicit Racial Associations)']",Examining_Racial_Bias_in_Education-sept.17nw.pdf
Conceptions of Educational Equity,本文探讨了“教育公平”这一概念在教育研究、实践和政策中多种且往往相互冲突的含义。作者识别了当前通用的五种公平观：跨群体的结果均等、每个孩子的结果均等、资源分配均等、每个孩子的经历均等以及每个孩子的成长水平均等。文章强调，理解这些定义及其背后的权衡（如优先考虑弱势群体或长期结构性变革），对于重新构想和改变导致教育不公的根源至关重要。,"['跨群体结果分布差异 (Equal distributions of outcomes across populations)', '社会经济地位/弱势群体差异 (Less advantaged)', '资源分配不均 (Equal resource allocations)', '结构性不平等 (Long-term structural change/Unjust conditions)']",levinson-et-al-2022-conceptions-of-educational-equity.pdf
SYSTEMIC BIAS IN EDUCATION,本文探讨了自20世纪70年代以来澳大利亚原住民教育领域的演变。文章认可了在助学金、语言项目、家庭支持以及原住民教育咨询小组等方面取得的积极进展，但重点在于分析教育系统中依然存在的针对原住民儿童的系统性问题。,"['系统性偏见 (Systemic bias)', '种族偏见 (Racial bias)', '制度性偏见 (Institutional bias)']",fulltext.pdf
Brief online implicit bias education increases bias awareness among clinical teaching faculty,本研究评估了一项针对临床教学教师的简短在线隐性偏见教育干预措施的效果。研究结果显示，通过在线模块的学习，临床教师对隐性偏见的认识显著提高，证明了简短的在线教育是提升医学教育者偏见意识的有效手段，有助于减少医疗环境中的不平等现象。,"['种族 bias', '残疾 bias']",Brief online implicit bias education increases bias awareness among clinical teaching faculty.pdf
Equality in Education: An Equality of Condition Perspective,本文探讨了教育公平的内涵，提出应超越传统的“入学与参与机会平等”，转向更全面的“条件平等”（equality of condition）视角。文章指出，要使学校成为真正的平等主义机构，必须认识到教育与社会中的经济、政治、社会文化及情感系统之间深层的整合关系。,"['经济 bias', '政治 bias', '社会文化 bias', '情感系统 bias']",Lynch and Baker (2005) Equality in Education (pre-print).pdf
Inclusion and equity in education: Making sense of global challenges,本文是《Prospects》杂志关于包容性教育特刊的导言。作者 Mel Ainscow 探讨了全球范围内促进教育包容与公平的挑战，强调在借鉴他国经验时应保持谨慎。文章指出，促进教育公平应基于对特定背景的分析，并提出了一个研究框架用于识别学习者面临的障碍，旨在通过加强包容性来提升整个教育系统中所有青少年的教育质量。,"['残疾/特殊教育需求', '性别', '种族/族裔', '社会经济背景', '语言背景']",s11125-020-09506-w.pdf
FAİR PLAY EĞİTİMİNDE BEDEN EĞİTİMİNİN ROLÜ (体育教育在公平竞争教育中的作用),本文探讨了20世纪以来，以足球为首的体育活动因日益严重的商业化和政治化，导致运动员普遍产生了“不惜一切代价获胜”的观念。这种观念已从职业体育蔓延至业余体育领域。由于针对成年运动员的公平竞争（Fair Play）宣传活动效果有限，作者主张公平竞争教育应从中小学阶段抓起。文章旨在分析公平竞争精神衰退的过程，并为体育教师提供现代教学方法和实践指导，以期在学校体育教育中有效培养学生的公平竞争意识。,"['“不惜一切代价获胜”的观念 (Win at all costs mentality)', '商业化影响 (Commercialization)', '政治化影响 (Politicization)']",Fair_Play_Egitiminde_Beden_Egitiminin_Ro.pdf
Are Students Reading? How Formative Practice Impacts Student Reading Behaviors in Etextbooks,本文探讨了高等教育中学生阅读电子教科书的行为现状。研究指出，尽管教材被视为学习内容的“金标准”，但许多教师怀疑学生并未按要求进行课前阅读，这一猜想也得到了相关研究的证实。文章通过收集教师促进阅读参与的策略，并利用数字平台数据衡量学生的阅读行为，旨在研究形成性练习（Formative Practice）如何影响学生的阅读参与度和学习成效。,[],Brown 等 - 2024 - Are students reading How formative practice impacts student reading behaviors in etextbooks.pdf
Outcome Equality or Equality of Respect: The Substantive Content of Equal Protection,本文探讨了美国宪法“平等保护”条款（Equal Protection Clause）的实质性内涵。作者 C. Edwin Baker 批评了仅基于程序、理性或代议强化（representation-reinforcing）的法律解释方法，转而深入分析了两种竞争性的平等理论：‘结果平等’（Outcome Equality）与‘尊重平等’（Equality of Respect），并主张平等保护必须具备实质性的道德和政治哲学基础。,"['种族 bias', '性别 bias']",Baker-OutcomeEqualityEquality-1983.pdf
Weight Bias in Educational Settings: a Systematic Review,本文是一项系统性文献综述，旨在探讨从幼儿园到高等教育阶段中，学生、职前及在职教师群体内体重偏见（weight bias）的普遍性，及其对学生教育经历和健康的影响。研究通过对45项研究的分析发现，体重偏见在教育环境中广泛存在，不仅来自同伴，也来自教师，并对肥胖学生的教育公平性和身心健康产生了负面影响。研究强调需要创新的策略来解决教育环境中的体重偏见问题。,"['体重偏见 (Weight bias)', '肥胖污名 (Obesity stigma)', '歧视 (Discrimination)']",Weight_Bias_in_Educational_Settings_a_Sy.pdf
Equality of Educational Opportunity,本文综述了教育社会学中关于“教育机会均等”的实证研究。文章重点讨论了与该主题相关的四个主要研究领域，包括地位获得研究（status attainment studies）和学校效应（school effect）研究，旨在探讨社会结构因素如何影响个体的教育成就与机会公平。,"['种族 bias', '性别 bias', '社会经济地位 bias', '社会阶级 bias']",Hallinan-EqualityEducationalOpportunity-1988.pdf
"Education, Equality, and National Citizenship",本文探讨了美国宪法第十四修正案中的“公民条款”（Citizenship Clause），主张联邦政府负有宪法义务，必须确保所有儿童获得足以使其履行国家公民职责的教育。作者挑战了教育仅属于各州事务的传统法律观点，提出了一个旨在消除教育不平等、保障国民身份实质平等的法律框架。,"['种族偏见 (Racial bias)', '社会经济地位偏见 (Socioeconomic bias)', '地理位置/地区资源分配差异 (Geographic bias)']",116YaleLJ330.pdf
Opportunity to Learn and Conceptions of Educational Equality,本文探讨了将“学习机会”（OTL）标准纳入教育问责体系中的公平性问题。作者分析了三种不同的平等观念（自由意志主义、自由主义和民主自由主义）如何影响对学习机会的实证衡量，并揭示了教育价值观与平等衡量标准之间的紧密联系，旨在为教育者和政策制定者提供关于教育机会均等的讨论框架。,"['自由意志主义观念 (Libertarian)', '自由主义观念 (Liberal)', '民主自由主义观念 (Democratic Liberal)']",Opportunity_to_Learn_and_Conceptions_of.pdf
